Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To

0	(Not Applicable)		N/A	4765	12678	65604	11546	1954	2022
41	Aqua	BCE5DC	Solid	82	60	1404	126	1998	2006
11	Black	212121	Solid	11245	12014	16189	11510	1957	2022
7	Blue	0057A6	Solid	3906	8042	7123	4274	1950	2022
97	Blue-Violet	506CEF	Solid	38	19	820	63	2004	2005
36	Bright Green	10CB31	Solid	608	1848	2344	689	1950	2022
105	Bright Light Blue	BCD1ED	Solid	440	514	1457	471	2004	2022
110	Bright Light Orange	FFC700	Solid	1068	1559	2712	1151	2000	2022
103	Bright Light Yellow	FEED83	Solid	426	771	1978	460	2004	2022
104	Bright Pink	F7BCDA	Solid	577	1161	1518	635	2003	2022
8	Brown	6B3F22	Solid	581	1089	3456	915	1974	2006
227	Clikits Lavender	E0AAD9	Solid	10	12	367	14	2005	2005
220	Coral	FF8172	Solid	167	244	588	163	2019	2022
153	Dark Azure	009FE0	Solid	662	861	1795	687	2000	2022
63	Dark Blue	243757	Solid	2091	2010	4195	2151	1961	2022
109	Dark Blue-Violet	2032B0	Solid	9	7	939	15	2004	2006
85	Dark Bluish Gray	595D60	Solid	3734	6194	7512	4109	1991	2022
120	Dark Brown	50372F	Solid	701	1566	2786	744	2008	2022
10	Dark Gray	6B5A5A	Solid	1053	1698	4084	1424	1961	2006
80	Dark Green	2E5543	Solid	866	980	2975	943	1961	2022
225	Dark Nougat	CE7942	Solid	3	10	714	28	2001	2004
242	Dark Olive Green	76753F	Solid			10			
68	Dark Orange	B35408	Solid	715	1602	2258	746	1985	2022
47	Dark Pink	EF5BB3	Solid	721	1179	1484	783	1994	2022
89	Dark Purple	5F2683	Solid	968	1160	2157	1053	2000	2022
59	Dark Red	6A0E15	Solid	1575	1733	3895	1650	1961	2022
231	Dark Salmon	FF6326	Solid	5	4	84	5	2003	2003
69	Dark Tan	B89869	Solid	1043	2224	3004	1075	1961	2022
39	Dark Turquoise	00A29F	Solid	601	670	1561	650	1998	2022
161	Dark Yellow	DD982E	Solid	4	4	629	18	2004	2005
29	Earth Orange	E6881D	Solid	37	87	904	55	1982	2005
106	Fabuland Brown	B3694E	Solid	7	25	1199	22	1979	1991
248	Fabuland Lime	ADD237	Solid	9	5	15	8	1982	1986
160	Fabuland Orange	EF9121	Solid	2	3	431	3	1983	1987
6	Green	00923D	Solid	1991	5103	4696	2275	1949	2022
154	Lavender	D3BDE3	Solid	317	441	803	362	2011	2022
152	Light Aqua	CFEFEA	Solid	431	497	914	450	2011	2022
62	Light Blue	C8D9E1	Solid	20	19	786	95	1950	2007
86	Light Bluish Gray	AFB5C7	Solid	4305	6715	7957	4791	1993	2022
91	Light Brown	99663E	Solid	40	28	1543	76	2002	2006
